# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		3869		2373		1470
1		3278		4708		1580
2		3013		7014		1686
3		2826		9321		1700
4		2753		11613		1723
5		2676		13898		1723
6		2661		16175		1707
7		2603		18453		1694
8		2525		20726		1711
9		2503		23006		1743
10		2472		25272		1753
11		2468		27540		1751
12		2443		29791		1752
13		2422		32069		1746
14		2409		34356		1750
15		2391		36615		1763
16		2350		38859		1761
17		2350		41128		1789
18		2333		43388		1751
19		2310		45643		1760
20		2283		47914		1747
21		2288		50173		1738
22		2258		52420		1741
23		2265		54678		1747
24		2225		56921		1744
25		2223		59183		1740
26		2261		61450		1740
27		2224		63702		1748
28		2230		65955		1787
29		2215		68225		1790
30		2214		70472		1775
31		2212		72741		1762
32		2193		75015		1744
33		2199		77297		1755
34		2181		79564		1748
35		2202		81822		1760
36		2213		84075		1761
37		2159		86322		1759
38		2159		88586		1732
39		2166		90852		1740
40		2174		93117		1752
41		2125		95369		1770
42		2142		97626		1761
43		2107		99876		1770
44		2096		102129		1755
45		2085		104378		1761
46		2095		106637		1763
47		2119		108895		1777
48		2135		111160		1776
49		2106		113424		1769
50		2099		115648		1758
51		2097		117894		1765
52		2089		120158		1733
53		2079		122417		1748
54		2086		124681		1775
55		2125		126963		1745
56		2058		129227		1763
57		2106		131474		1783
58		2086		133719		1779
59		2087		135981		1770
60		2070		138241		1769
61		2105		140506		1766
62		2096		142752		1767
63		2124		145008		1730
64		2133		147262		1743
65		2121		149529		1770
66		2139		151787		1766
67		2100		154028		1761
68		2099		156286		1774
69		2102		158540		1766
70		2098		160788		1768
71		2085		163048		1781
72		2072		165318		1767
73		2079		167558		1774
74		2073		169818		1765
75		2107		172061		1766
76		2107		174322		1774
77		2127		176577		1765
78		2116		178845		1752
79		2075		181110		1769
80		2074		183358		1763
81		2122		185598		1789
82		2120		187848		1781
83		2096		190070		1776
84		2100		192319		1780
85		2092		194563		1756
86		2097		196812		1751
87		2043		199074		1768
88		2083		201302		1748
89		2088		203554		1745
90		2092		205809		1763
91		2091		208054		1738
92		2061		210313		1744
93		2065		212550		1729
94		2086		214802		1739
95		2064		217056		1744
96		2038		219305		1748
97		2057		221539		1776
98		2075		223789		1757
99		2081		226047		1739
100		2076		228280		1751
101		2055		230538		1765
102		2025		232797		1753
103		2046		235046		1743
104		2028		237299		1758
105		2025		239535		1771
106		2039		241799		1765
107		2016		244058		1735
